Year	d18O	Filtered d18O
1246	-5.172	-5.143
1247	-4.640	-5.144
1248	-5.646	-5.157
1249	-5.925	-5.138
1250	-3.793	-5.100
1251	-4.310	-5.129
1252	-6.423	-5.200
1253	-4.217	-5.257
1254	-5.612	-5.329
1255	-6.958	-5.372
1256	-5.170	-5.333
1257	-4.467	-5.283
1258	-6.415	-5.249
1259	-5.256	-5.174
1260	-4.270	-5.087
1261	-5.025	-5.039
1262	-4.421	-5.028
1263	-4.117	-5.071
1264	-5.496	-5.169
1265	-6.982	-5.231
1266	-3.947	-5.228
1267	-4.533	-5.265
1268	-6.480	-5.342
1269	-6.132	-5.360
1270	-4.857	-5.324
1271	-4.126	-5.321
1272	-6.593	-5.359
1273	-5.219	-5.368
1274	-5.086	-5.361
1275	-5.181	-5.377
1276	-6.525	-5.381
1277	-5.216	-5.335
1278	-3.916	-5.301
1279	-5.159	-5.344
1280	-6.400	-5.406
1281	-4.120	-5.457
1282	-6.065	-5.536
1283	-6.754	-5.594
1284	-5.777	-5.574
1285	-5.617	-5.513
1286	-4.818	-5.458
1287	-4.154	-5.464
1288	-7.754	-5.496
1289	-5.251	-5.453
1290	-5.027	-5.372
1291	-5.900	-5.298
1292	-5.189	-5.203
1293	-3.531	-5.134
1294	-4.908	-5.152
1295	-5.748	-5.208
1296	-6.334	-5.216
1297	-5.654	-5.141
1298	-4.478	-5.026
1299	-4.714	-4.931
1300	-5.312	-4.849
1301	-3.738	-4.775
1302	-3.678	-4.769
1303	-4.917	-4.842
1304	-5.968	-4.912
1305	-4.241	-4.945
1306	-5.668	-4.969
1307	-6.158	-4.946
1308	-4.665	-4.849
1309	-4.245	-4.743
1310	-3.982	-4.684
1311	-4.016	-4.690
1312	-5.688	-4.723
1313	-5.136	-4.714
1314	-4.310	-4.668
1315	-3.814	-4.651
1316	-4.691	-4.684
1317	-4.303	-4.750
1318	-5.669	-4.816
1319	-4.558	-4.859
1320	-4.164	-4.914
1321	-5.718	-4.996
1322	-4.065	-5.086
1323	-4.510	-5.227
1324	-6.932	-5.391
1325	-6.555	-5.469
1326	-4.490	-5.478
1327	-5.465	-5.510
1328	-6.433	-5.547
1329	-6.721	-5.511
1330	-5.350	-5.393
1331	-5.021	-5.253
1332	-4.210	-5.149
1333	-5.454	-5.088
1334	-5.068	-5.032
1335	-4.315	-4.981
1336	-5.541	-4.948
1337	-5.650	-4.883
1338	-4.860	-4.762
1339	-3.193	-4.654
1340	-5.792	-4.586
1341	-3.572	-4.518
1342	-3.358	-4.496
1343	-3.486	-4.583
1344	-6.177	-4.716
1345	-3.482	-4.837
1346	-5.935	-4.966
1347	-6.960	-5.031
1348	-3.690	-5.009
1349	-4.577	-5.015
1350	-6.478	-5.041
1351	-5.278	-4.998
1352	-3.965	-4.929
1353	-5.790	-4.879
1354	-5.271	-4.795
1355	-3.506	-4.695
1356	-4.785	-4.638
1357	-4.082	-4.617
1358	-4.283	-4.628
1359	-2.821	-4.718
1360	-5.859	-4.886
1361	-6.610	-5.014
1362	-4.493	-5.051
1363	-4.675	-5.087
