site,Site.detail,sample,d13C,height
MS7,MS7 Oued Sdas,M24-6.0,-2.962,1.22
MS7,MS7 Oued Sdas,M24-7.5,-2.578,2.72
MS7,MS7 Oued Sdas,M24-9.0,-3.115,4.22
MS7,MS7 Oued Sdas,M24-10.5,-3.128,5.72
MS7,MS7 Oued Sdas,M24-12.0,-2.696,7.22
MS7,MS7 Oued Sdas,M24-13.5,-2.391,8.72
MS7,MS7 Oued Sdas,M24-15.0,-1.509,10.22
MS7,MS7 Oued Sdas,M24-16.5,-2.394,11.72
MS7,MS7 Oued Sdas,M24-18.0,-3.184,13.22
MS7,MS7 Oued Sdas,M24-20.2,-1.792,15.42
MS7,MS7 Oued Sdas,M24-21.7,-2.741,16.92
MS7,MS7 Oued Sdas,M24-23.2,-2.277,18.42
MS7,MS7 Oued Sdas,M24-24.7,-2.441,19.92
MS7,MS7 Oued Sdas,M24-26.2,-2.694,21.42
MS7,MS7 Oued Sdas,M24-27.7,-2.614,22.92
MS7,MS7 Oued Sdas,M24-29.2,-2.395,24.42
MS7,MS7 Oued Sdas,M24-30.7,-3.033,25.92
MS7,MS7 Oued Sdas,M24-32.2,-3.138,27.42
MS7,MS7 Oued Sdas,M24-33.3,-1.846,28.52
MS7,MS7 Oued Sdas,M24-35.2,-3.269,30.42
MS7,MS7 Oued Sdas,M24-37.0,-3.583,32.22
MS7,MS7 Oued Sdas,M24-38.5B,-3.588,33.72
MS7,MS7 Oued Sdas,M24-40.0,-3.478,35.22
MS7,MS7 Oued Sdas,M24-41.5,-3.727,36.72
MS7,MS7 Oued Sdas,M24-43.0,-3.243,38.22
MS7,MS7 Oued Sdas,M24-44.5,-3.37,39.72
MS7,MS7 Oued Sdas,M24-46.0,-3.227,41.22
MS7,MS7 Oued Sdas,M24-47.5,-2.526,42.72
MS7,MS7 Oued Sdas,M24-49.0,-3.321,44.22
MS7,MS7 Oued Sdas,M24-50.5,-2.906,45.72
MS7,MS7 Oued Sdas,M24-52.0,-3.59,47.22
MS7,MS7 Oued Sdas,M24-53.5,-3.027,48.72
MS7,MS7 Oued Sdas,M24-55.0,-3.058,50.22
MS7,MS7 Oued Sdas,M24-56.5,-2.835,51.72
MS7,MS7 Oued Sdas,M24-58.0,-3.001,53.22
MS7,MS7 Oued Sdas,M24-59.5,-2.276,54.72
MS7,MS7 Oued Sdas,M24-61.0,-2.348,56.22
MS7,MS7 Oued Sdas,M24-62.5,-2.455,57.72
MS7,MS7 Oued Sdas,M24-64.0,-2.398,59.22
MS7,MS7 Oued Sdas,M24-65.5,-3.282,60.72
MS7,MS7 Oued Sdas,M24-67.0,-2.637,62.22
MS7,MS7 Oued Sdas,M24-68.5,-2.553,63.72
MS7,MS7 Oued Sdas,M24-70.0,-2.436,65.22
MS7,MS7 Oued Sdas,M24-71.5,-2.811,66.72
MS7,MS7 Oued Sdas,M24-73.0,-3.562,68.22
MS7,MS7 Oued Sdas,M24-74.5,-3.46,69.72
MS7,MS7 Oued Sdas,M24-77.5,-3.032,72.72
MS7,MS7 Oued Sdas,M24-79.0A,-2.986,74.22
MS7,MS7 Oued Sdas,M24-80.5,-2.968,75.72
MS7,MS7 Oued Sdas,M24-82.0,-2.953,77.22
MS7,MS7 Oued Sdas,M24-83.5,-2.886,78.72
MS7,MS7 Oued Sdas,M24-85.0,-3.34,80.22
MS7,MS7 Oued Sdas,M24-86.5,-3.329,81.72
MS7,MS7 Oued Sdas,M24-88.0,-3.087,83.22
MS7,MS7 Oued Sdas,M24-89.5,-3.161,84.72
MS7,MS7 Oued Sdas,M24-91.5,-3.868,86.72
MS7,MS7 Oued Sdas,M24-93.0,-2.633,88.22
MS7,MS7 Oued Sdas,M24-94.5,-2.886,89.72
MS7,MS7 Oued Sdas,M24-96.5,-1.956,91.72
MS7,MS7 Oued Sdas,M24-98.0,-2.69,93.22
MS7,MS7 Oued Sdas,M24-99.5,-2.444,94.72
MS7,MS7 Oued Sdas,M24-102.0,-3.617,97.22
MS7,MS7 Oued Sdas,M24-103.5,-4.159,98.72
MS7,MS7 Oued Sdas,M24-105.0,-4.221,100.22
MS7,MS7 Oued Sdas,M24-106.5,-4.195,101.72
MS7,MS7 Oued Sdas,M24-108.0,-4.114,103.22
MS7,MS7 Oued Sdas,M24-109.5,-4.101,104.72
MS7,MS7 Oued Sdas,M24-111.0,-4.171,106.22
MS7,MS7 Oued Sdas,M24-115.0,-5.018,110.22
MS7,MS7 Oued Sdas,M2-117.9,-4.21,113.12
MS7,MS7 Oued Sdas,M24-119.5,-4.27,114.72
MS7,MS7 Oued Sdas,M24-121.0,-4.176,116.22
MS7,MS7 Oued Sdas,M24-122.5,-4.481,117.72
MS7,MS7 Oued Sdas,M24-124.0,-4.845,119.22
MS7,MS7 Oued Sdas,M24-128.0,-4.473,123.22
MS7,MS7 Oued Sdas,M24-131.7,-3.596,126.92
MS7,MS7 Oued Sdas,M24-133.7,-3.493,128.92
MS7,MS7 Oued Sdas,M24-136.5,-3.268,131.72
MS7,MS7 Oued Sdas,M24-138.0,-3.503,133.22
MS7,MS7 Oued Sdas,M24-139.0,-3.126,134.22
MS7,MS7 Oued Sdas,M24-140.5,-2.477,135.72
MS7,MS7 Oued Sdas,M24-143.9,-1.631,139.12
MS7,MS7 Oued Sdas,M24-145.0,-1.591,140.22
MS7,MS7 Oued Sdas,M24-147.7,-1.665,142.92
MS7,MS7 Oued Sdas,M24-149.5,-2.011,144.72
MS7,MS7 Oued Sdas,M24-151.0,-1.899,146.22
MS7,MS7 Oued Sdas,M24-153.1,-1.912,148.32
MS7,MS7 Oued Sdas,M24-154.2,-2.158,149.42
MS7,MS7 Oued Sdas,M24-155.8,-1.926,151.02
MS7,MS7 Oued Sdas,M24-157.5,-1.59,152.72
MS7,MS7 Oued Sdas,M24-160.2,-1.797,155.42
MS7,MS7 Oued Sdas,M24-162.0,-1.855,157.22
MS7,MS7 Oued Sdas,M24-164.3,-2.464,159.52
MS7,MS7 Oued Sdas,M24-166.5,-3.072,161.72
MS7,MS7 Oued Sdas,M24-168.4,-3.014,163.62
MS7,MS7 Oued Sdas,M24-171.6,-3.326,166.82
MS7,MS7 Oued Sdas,M24-173.4,-3.187,168.62
MS7,MS7 Oued Sdas,M24-175.9,-1.87,171.12
MS7,MS7 Oued Sdas,M24-178.2,-0.621,173.42
MS7,MS7 Oued Sdas,M24-179.7,-0.143,174.92
MS7,MS7 Oued Sdas,M24-181.2,-0.061,176.42
MS7,MS7 Oued Sdas,M24-182.7,0.155,177.92
MS7,MS7 Oued Sdas,M24-184.2,-0.02,179.42
MS7,MS7 Oued Sdas,M24-186.0,0.122,181.22
MS7,MS7 Oued Sdas,M24-187.5,-0.773,182.72
MS7,MS7 Oued Sdas,M24-189.0,-1.488,184.22
MS7,MS7 Oued Sdas,M24-190.5,-1.642,185.72
MS7,MS7 Oued Sdas,M24-192.0,-1.858,187.22
MS7,MS7 Oued Sdas,M24-195.0,-1.862,190.22
MS7,MS7 Oued Sdas,M24-196.5,-1.789,191.72
MS7,MS7 Oued Sdas,M24-198.0,-1.996,193.22
MS7,MS7 Oued Sdas,M24-199.5,-2,194.72
MS7,MS7 Oued Sdas,M24-202.5,-1.533,197.72
MS7,MS7 Oued Sdas,M24-204.2,-2.274,199.42
MS7,MS7 Oued Sdas,M24-206.2,-2.67,201.42
MS7,MS7 Oued Sdas,M24-208.3,-2.532,203.52
MS7,MS7 Oued Sdas,M24-208.6,-2.896,203.82
MS7,MS7 Oued Sdas,M24-208.7,-3.151,203.92
MS7,MS7 Oued Sdas,M24-209.8,-2.433,205.02
MS7,MS7 Oued Sdas,M24-210.7,-3.311,205.92
MS7,MS7 Oued Sdas,M24-211.1,-3.093,206.32
MS7,MS7 Oued Sdas,M24-213.1,-2.418,208.32
MS7,MS7 Oued Sdas,M24-215.4,-1.546,210.62
MS7,MS7 Oued Sdas,M24-218.6,-0.541,213.82
MS7,MS7 Oued Sdas,M24-221.2,0.542,216.42
MS7,MS7 Oued Sdas,M24-222.8,0.304,218.02
MS7,MS7 Oued Sdas,M24-225.7,-0.134,220.92
MS7,MS7 Oued Sdas,M24-227.3,-0.112,222.52
MS7,MS7 Oued Sdas,M24-229.1,-0.69,224.32
MS7,MS7 Oued Sdas,M24-231.5,-0.706,226.72
MS7,MS7 Oued Sdas,M24-233.4,-1.348,228.62
MS7,MS7 Oued Sdas,M24-235.7,-1.143,230.92
MS7,MS7 Oued Sdas,M24-239.0,-1.072,234.22
MS7,MS7 Oued Sdas,M24-243.0,-1.077,238.22
MS7,MS7 Oued Sdas,M24-246.0,-0.583,241.22
MS7,MS7 Oued Sdas,M24-249.0,-2.156,244.22
MS7,MS7 Oued Sdas,M24-252.0,-1.757,247.22
MS7,MS7 Oued Sdas,M24-255.0,-1.61,250.22
MS7,MS7 Oued Sdas,M24-257.0,-2.481,252.22
MS7,MS7 Oued Sdas,M24-260.0,-2.757,255.22
MS7,MS7 Oued Sdas,M24-262.8,-2.621,258.02
MS7,MS7 Oued Sdas,M24-266.6,-2.344,261.82
MS7,MS7 Oued Sdas,M24-270.0,-1.76,265.22
MS7,MS7 Oued Sdas,M24-272.7,-0.845,267.92
MS7,MS7 Oued Sdas,M24-276.2,-0.304,271.42
MS7,MS7 Oued Sdas,M24-281.3,0.693,276.52
MS7,MS7 Oued Sdas,M24-284.3,-0.262,279.52
MS7,MS7 Oued Sdas,M24-287.8,-0.095,283.02
MS7,MS7 Oued Sdas,M24-290.5,0.299,285.72
MS7,MS7 Oued Sdas,M24-294.4,0.312,289.62
MS7,MS7 Oued Sdas,M24-298.9,0.008,294.12
MS7,MS7 Oued Sdas,M24-300.3,0.175,295.52
MS7,MS7 Oued Sdas,M24-305.5,-0.7,300.72
MS7,MS7 Oued Sdas,M24-308.9,-0.605,304.12
MS7,MS7 Oued Sdas,M24-316.1,-0.656,311.32
MS7,MS7 Oued Sdas,M24-320.1,-0.975,315.32
MS7,MS7 Oued Sdas,M24-322.3,-0.79,317.52
MS7,MS7 Oued Sdas,M24-326.2,-1.003,321.42
MS7,MS7 Oued Sdas,M24-330.4,-0.159,325.62
MS7,MS7 Oued Sdas,M24-333.2,-0.838,328.42
MS7,MS7 Oued Sdas,M24-338.2,-0.717,333.42
MS7,MS7 Oued Sdas,M24-342.5,-0.345,337.72
MS7,MS7 Oued Sdas,M24-346.3,-1.83,341.52
MS7,MS7 Oued Sdas,M24-348.0,-2.099,343.22
MS7,MS7 Oued Sdas,M24-348.5,-2.512,343.72
MS7,MS7 Oued Sdas,M24-350.9,-2.531,346.12
MS7,MS7 Oued Sdas,M24-355.6,-2.211,350.82
MS7,MS7 Oued Sdas,M24-358.5,-2.387,353.72
MS7,MS7 Oued Sdas,M24-362.7,-2.62,357.92
MS7,MS7 Oued Sdas,M24-365.2,-2.772,360.42
MS7,MS7 Oued Sdas,M24-368.8,-2.036,364.02
MS7,MS7 Oued Sdas,M24-370.8,-2.106,366.02
MS7,MS7 Oued Sdas,M24-375.2,-0.239,370.42
MS7,MS7 Oued Sdas,M24-376.0,0.1,371.22
MS7,MS7 Oued Sdas,M24-380.2,0.985,375.42
MS7,MS7 Oued Sdas,M24-383.5,1.693,378.72
MS7,MS7 Oued Sdas,M24-391.3,0.384,386.52
MS7,MS7 Oued Sdas,M24-394.8,0.095,390.02
MS7,MS7 Oued Sdas,M24-398.2,-0.036,393.42
MS7,MS7 Oued Sdas,M24-400.7,0.088,395.92
MS7,MS7 Oued Sdas,M24-403.8,0.293,399.02
MS7,MS7 Oued Sdas,M24-406.6,0.153,401.82
MS7,MS7 Oued Sdas,M24-410.0,0.055,405.22
MS7,MS7 Oued Sdas,M24-413.6,0.044,408.82
MS7,MS7 Oued Sdas,M24-416.2,0.113,411.42
MS7,MS7 Oued Sdas,M24-420.0,1.072,415.22
MS7,MS7 Oued Sdas,M24-422.8,2.35,418.02
MS7,MS7 Oued Sdas,M24-427.1,2.186,422.32
MS7,MS7 Oued Sdas,M24-431.2,1.558,426.42
MS7,MS7 Oued Sdas,M24-436.8,2.11,432.02
MS7,MS7 Oued Sdas,M24-439.6,2.348,434.82
MS7,MS7 Oued Sdas,M24-444.2,3.007,439.42
MS7,MS7 Oued Sdas,M24-449.6,4.056,444.82
MS7,MS7 Oued Sdas,M24-452.7,3.756,447.92
MS7,MS7 Oued Sdas,M24-455.0,3.26,450.22
MS7,MS7 Oued Sdas,M24-458.9,3.199,454.12
MS7,MS7 Oued Sdas,M24-465.4,3.182,460.62
MS7,MS7 Oued Sdas,M24-467.8,3.376,463.02
MS7,MS7 Oued Sdas,M24-472.3,3.467,467.52
MS7,MS7 Oued Sdas,M24-476.1,3.553,471.32
MS7,MS7 Oued Sdas,M218-0.0,4.022,471.52
MS7,MS7 Oued Sdas,M218-0.3,3.987,471.82
MS7,MS7 Oued Sdas,M218-2.0,4.094,473.52
MS7,MS7 Oued Sdas,M218-3.0,4.259,474.52
MS7,MS7 Oued Sdas,M218-4.1,4.168,475.62
MS7,MS7 Oued Sdas,M218-5.7,4.775,477.22
MS7,MS7 Oued Sdas,M218-7.5,4.889,479.02
MS7,MS7 Oued Sdas,M218-8.7,4.867,480.22
MS7,MS7 Oued Sdas,M218-10.0,4.945,481.52
MS7,MS7 Oued Sdas,M218-11.0,4.205,482.52
MS7,MS7 Oued Sdas,M218-12.9,3.107,484.42
MS7,MS7 Oued Sdas,M218-14.2,5.333,485.72
MS7,MS7 Oued Sdas,M218-16.1,5.522,487.62
MS7,MS7 Oued Sdas,M218-17.6,3.959,489.12
MS7,MS7 Oued Sdas,M218-18.8,5.712,490.32
MS7,MS7 Oued Sdas,M218-20.2,5.577,491.72
MS7,MS7 Oued Sdas,M218-21.4,5.47,492.92
MS7,MS7 Oued Sdas,M218-22.2,5.441,493.72
MS7,MS7 Oued Sdas,M218-23.5,4.957,495.02
MS7,MS7 Oued Sdas,M218-24.5,4.807,496.02
MS7,MS7 Oued Sdas,M218-26.0,5.35,497.52
MS7,MS7 Oued Sdas,M218-27.0,4.781,498.52
MS7,MS7 Oued Sdas,M218-28.2,5.215,499.72
MS7,MS7 Oued Sdas,M218-29.6,5.08,501.12
MS7,MS7 Oued Sdas,M218-30.7,5.056,502.22
MS7,MS7 Oued Sdas,M218-31.5,5.447,503.02
MS7,MS7 Oued Sdas,M218-32.8,4.443,504.32
MS7,MS7 Oued Sdas,M218-34.8,5.01,506.32
MS7,MS7 Oued Sdas,M218-36.8,4.948,508.32
MS7,MS7 Oued Sdas,M218-37.7,3.961,509.22
MS7,MS7 Oued Sdas,M218-38.7,4.583,510.22
MS7,MS7 Oued Sdas,M218-40.7,4.341,512.22
MS7,MS7 Oued Sdas,M218-41.7,5.004,513.22
MS7,MS7 Oued Sdas,M218-43.0,5.086,514.52
MS7,MS7 Oued Sdas,M218-43.5,4.601,515.02
MS7,MS7 Oued Sdas,M218-45.0,3.921,516.52
MS7,MS7 Oued Sdas,M218-46.5,4.128,518.02
MS7,MS7 Oued Sdas,M218-48.0,4.339,519.52
MS7,MS7 Oued Sdas,M218-49.4,3.688,520.92
MS7,MS7 Oued Sdas,M218-50.8,3.947,522.32
MS7,MS7 Oued Sdas,M218-52.0,3.961,523.52
MS7,MS7 Oued Sdas,M218-53.7,3.745,525.22
MS7,MS7 Oued Sdas,M218-54.6,3.918,526.12
MS7,MS7 Oued Sdas,M218-55.8,3.943,527.32
MS7,MS7 Oued Sdas,M218-56.6,4.048,528.12
MS7,MS7 Oued Sdas,M218-58.0,4.722,529.52
MS7,MS7 Oued Sdas,M218-59.5,4.103,531.02
MS7,MS7 Oued Sdas,M218-61.0,4.459,532.52
MS7,MS7 Oued Sdas,M218-62.2,3.867,533.72
MS7,MS7 Oued Sdas,M218-63.7,3.804,535.22
MS7,MS7 Oued Sdas,M218-65.1,3.276,536.62
MS7,MS7 Oued Sdas,M218-66.6,2.968,538.12
MS7,MS7 Oued Sdas,M218-67.8,3.747,539.32
MS7,MS7 Oued Sdas,M218-69.0,3.893,540.52
MS7,MS7 Oued Sdas,M218-70.5,3.744,542.02
MS7,MS7 Oued Sdas,M218-71.7,3.11,543.22
MS7,MS7 Oued Sdas,M218-72.9,3.149,544.42
MS7,MS7 Oued Sdas,M218-74.2,3.125,545.72
MS7,MS7 Oued Sdas,M218-75.3,2.702,546.82
MS7,MS7 Oued Sdas,M218-77.2,2.445,548.72
MS7,MS7 Oued Sdas,M218-78.6,2.642,550.12
MS7,MS7 Oued Sdas,M218-79.5,2.423,551.02
MS7,MS7 Oued Sdas,M218-80.7,2.52,552.22
MS7,MS7 Oued Sdas,M218-82.2,2.523,553.72
MS7,MS7 Oued Sdas,M218-83.4,2.452,554.92
MS7,MS7 Oued Sdas,M218-84.8,2.358,556.32
MS7,MS7 Oued Sdas,M218-86.0,1.524,557.52
MS7,MS7 Oued Sdas,M218-87.2,1.408,558.72
MS7,MS7 Oued Sdas,M218-88.3,1.714,559.82
MS7,MS7 Oued Sdas,M218-89.6,1.556,561.12
MS7,MS7 Oued Sdas,M218-90.6,1.604,562.12
MS7,MS7 Oued Sdas,M218-91.9,1.426,563.42
MS7,MS7 Oued Sdas,M218-92.9,1.081,564.42
MS7,MS7 Oued Sdas,M218-94.0,0.851,565.52
MS7,MS7 Oued Sdas,M218-95.2,0.671,566.72
MS7,MS7 Oued Sdas,M218-96.2,0.427,567.72
MS7,MS7 Oued Sdas,M218-97.6,0.216,569.12
MS7,MS7 Oued Sdas,M218-98.8,0.07,570.32
MS7,MS7 Oued Sdas,M218-100.1,0.115,571.62
MS7,MS7 Oued Sdas,M218-101.4,0.16,572.92
MS7,MS7 Oued Sdas,M218-102.8,0.424,574.32
MS7,MS7 Oued Sdas,M218-103.5,-0.273,575.02
MS7,MS7 Oued Sdas,M218-104.2,-0.421,575.72
MS7,MS7 Oued Sdas,M218-106.7,-0.645,578.22
MS7,MS7 Oued Sdas,M218-107.7,-0.557,579.22
MS7,MS7 Oued Sdas,M218-108.9,-0.428,580.42
MS7,MS7 Oued Sdas,M218-110.3,-0.747,581.82
MS7,MS7 Oued Sdas,M218-111.5,-0.754,583.02
MS7,MS7 Oued Sdas,M218-113.2,-0.684,584.72
MS7,MS7 Oued Sdas,M218-114.3,-0.904,585.82
MS7,MS7 Oued Sdas,M218-115.4,-1.057,586.92
MS7,MS7 Oued Sdas,M218-116.9,-0.713,588.42
MS7,MS7 Oued Sdas,M218-117.5,-0.635,589.02
MS7,MS7 Oued Sdas,M218-119.1,-1.544,590.62
MS7,MS7 Oued Sdas,M218-121.1,-1.05,592.62
MS7,MS7 Oued Sdas,M218-122.0,-1.341,593.52
MS7,MS7 Oued Sdas,M218-123.1,-2.267,594.62
MS7,MS7 Oued Sdas,M218-124.0,-2.669,595.52
MS7,MS7 Oued Sdas,M218-124.9,-3.235,596.42
MS7,MS7 Oued Sdas,M218-126.0,-4.414,597.52
MS7,MS7 Oued Sdas,M218-127.0,-4.867,598.52
MS7,MS7 Oued Sdas,M218-127.6,-3.785,599.12
MS7,MS7 Oued Sdas,M218-128.3,-4.279,599.82
MS7,MS7 Oued Sdas,M218-129.6,-3.22,601.12
MS7,MS7 Oued Sdas,M218-130.6,-2.418,602.12
MS7,MS7 Oued Sdas,M218-132.3,-1.613,603.82
MS7,MS7 Oued Sdas,M218-133.6,-0.986,605.12
MS7,MS7 Oued Sdas,M218-135.4,-1.458,606.92
MS7,MS7 Oued Sdas,M218-135.7,-1.538,607.22
MS7,MS7 Oued Sdas,M218-136.7,-1.445,608.22
MS7,MS7 Oued Sdas,M218-137.8,-1.481,609.32
MS7,MS7 Oued Sdas,M218-139.1,-1.224,610.62
MS7,MS7 Oued Sdas,M218-140.6,-0.931,612.12
MS7,MS7 Oued Sdas,M218-142.0,-1.506,613.52
MS7,MS7 Oued Sdas,M218-143.1,-1.096,614.62
MS7,MS7 Oued Sdas,M218-144.7,-1.489,616.22
MS7,MS7 Oued Sdas,M218-146.1,-1.604,617.62
MS7,MS7 Oued Sdas,M218-147.3,-1.829,618.82
MS7,MS7 Oued Sdas,M218-148.1,-1.697,619.62
MS7,MS7 Oued Sdas,M218-149.6,-1.78,621.12
MS7,MS7 Oued Sdas,M218-151.4,-1.35,622.92
MS7,MS7 Oued Sdas,M218-152.2,-1.368,623.72
MS7,MS7 Oued Sdas,M218-153.9,-1.535,625.42
MS7,MS7 Oued Sdas,M218-155.2,-2.027,626.72
MS7,MS7 Oued Sdas,M218-156.1,-1.6,627.62
MS7,MS7 Oued Sdas,M218-157.3,-1.636,628.82
MS7,MS7 Oued Sdas,M218-158.5,-1.449,630.02
MS7,MS7 Oued Sdas,M218-160.0,-1.573,631.52
MS7,MS7 Oued Sdas,M218-161.4,-1.277,632.92
MS7,MS7 Oued Sdas,M218-162.8,-0.498,634.32
MS7,MS7 Oued Sdas,M218-164.2,0.828,635.72
MS7,MS7 Oued Sdas,M218-166.9,4.775,638.42
MS7,MS7 Oued Sdas,M218-168.0,5.477,639.52
MS7,MS7 Oued Sdas,M218-169.5,6.426,641.02
MS7,MS7 Oued Sdas,M218-171.2,6.149,642.72
MS7,MS7 Oued Sdas,M218-172.8,6.469,644.32
MS7,MS7 Oued Sdas,M218-173.9,4.512,645.42
MS7,MS7 Oued Sdas,M218-175.2,4.059,646.72
MS7,MS7 Oued Sdas,M218-176.1,4.15,647.62
MS7,MS7 Oued Sdas,M219-1.6,-0.448,633.12
MS7,MS7 Oued Sdas,M219-2.7,-0.739,634.22
MS7,MS7 Oued Sdas,M219-3.7,0.553,635.22
MS7,MS7 Oued Sdas,M219-4.4,0.911,635.92
MS7,MS7 Oued Sdas,M219-6.4,0.427,637.92
MS7,MS7 Oued Sdas,M219-7.0,4.145,638.52
MS7,MS7 Oued Sdas,M219-8.1,4.857,639.62
MS7,MS7 Oued Sdas,M219-8.9,4.5,640.42
MS7,MS7 Oued Sdas,M219-10.0,6.325,641.52
MS7,MS7 Oued Sdas,M219-11.2,5.608,642.72
MS7,MS7 Oued Sdas,M219-12.0,5.397,643.52
MS7,MS7 Oued Sdas,M219-12.9,5.159,644.42
MS7,MS7 Oued Sdas,M219-13.1,5.438,644.62
MS7,MS7 Oued Sdas,M219-14.1,5.18,645.62
MS7,MS7 Oued Sdas,M219-14.8,4.475,646.32
MS7,MS7 Oued Sdas,M219-15.5,4.03,647.02
MS7,MS7 Oued Sdas,M219-16.4,4.254,647.92
MS7,MS7 Oued Sdas,M219-17.0,4.012,648.52
MS7,MS7 Oued Sdas,M219-17.8,2.993,649.32
MS7,MS7 Oued Sdas,M219-18.8,3.776,650.32
MS7,MS7 Oued Sdas,M219-20.4,3.904,651.92
MS7,MS7 Oued Sdas,M219-21.4,3.908,652.92
MS7,MS7 Oued Sdas,M219-22.5,3.077,654.02
MS7,MS7 Oued Sdas,M219-22.9,4.04,654.42
MS7,MS7 Oued Sdas,M219-24.5,3.996,656.02
MS7,MS7 Oued Sdas,M219-25.4,3.63,656.92
MS7,MS7 Oued Sdas,M219-26.4,3.455,657.92
MS7,MS7 Oued Sdas,M219-27.6,4.069,659.12
MS7,MS7 Oued Sdas,M219-28.2,4.188,659.72
MS7,MS7 Oued Sdas,M219-29.3,3.936,660.82
MS7,MS7 Oued Sdas,M219-30.0,4.051,661.52
MS7,MS7 Oued Sdas,M219-30.6,4.146,662.12
MS7,MS7 Oued Sdas,M219-31.5,3.537,663.02
MS7,MS7 Oued Sdas,M219-32.8,2.717,664.32
MS7,MS7 Oued Sdas,M219-33.4,3.795,664.92
MS7,MS7 Oued Sdas,M219-34.8,3.932,666.32
MS7,MS7 Oued Sdas,M219-35.8,3.172,667.32
MS7,MS7 Oued Sdas,M219-36.9,3.333,668.42
MS7,MS7 Oued Sdas,M219-37.7,3.561,669.22
MS7,MS7 Oued Sdas,M219-38.6,3.614,670.12
MS7,MS7 Oued Sdas,M219-39.8,3.966,671.32
MS7,MS7 Oued Sdas,M219-40.5,3.739,672.02
MS7,MS7 Oued Sdas,M219-41.7,2.974,673.22
MS7,MS7 Oued Sdas,M219-43.5,3.968,675.02
MS7,MS7 Oued Sdas,M219-45.5,3.18,677.02
MS7,MS7 Oued Sdas,M219-46.3,3.845,677.82
MS7,MS7 Oued Sdas,M219-47.1,3.918,678.62
MS7,MS7 Oued Sdas,M219-48.6,4.076,680.12
MS7,MS7 Oued Sdas,M219-49.3,5.976,680.82
MS7,MS7 Oued Sdas,M219-50.9,3.221,682.42
MS7,MS7 Oued Sdas,M219-52.4,3.5,683.92
MS7,MS7 Oued Sdas,M219-53.4,4.514,684.92
MS7,MS7 Oued Sdas,M219-54.0,4.249,685.52
MS7,MS7 Oued Sdas,M219-55.2,2.972,686.72
MS7,MS7 Oued Sdas,M219-56.0,3.629,687.52
MS7,MS7 Oued Sdas,M219-56.6,3.069,688.12
MS7,MS7 Oued Sdas,M219-57.8,3.688,689.32
MS7,MS7 Oued Sdas,M219-58.9,4.201,690.42
MS7,MS7 Oued Sdas,M219-60.4,3.6,691.92
MS7,MS7 Oued Sdas,M219-61.8,3.71,693.32
MS7,MS7 Oued Sdas,M219-62.9,4.151,694.42
MS7,MS7 Oued Sdas,M219-63.4,4.298,694.92
MS7,MS7 Oued Sdas,M219.64.8,3.32,696.32
MS7,MS7 Oued Sdas,M219-66.5,4.621,698.02
MS7,MS7 Oued Sdas,M219-67.8,5.143,699.32
MS7,MS7 Oued Sdas,M219-68.9,5.279,700.42
MS7,MS7 Oued Sdas,M219-69.6,5.512,701.12
MS7,MS7 Oued Sdas,M219-72.1,4.135,703.62
MS7,MS7 Oued Sdas,M219-73.7,5.658,705.22
MS7,MS7 Oued Sdas,M219-75.0,5.798,706.52
MS7,MS7 Oued Sdas,M219-77.1,6.228,708.62
MS7,MS7 Oued Sdas,M219-78.3,6.208,709.82
MS7,MS7 Oued Sdas,M219-79.6,5.106,711.12
MS7,MS7 Oued Sdas,M219-80.5,6.461,712.02
MS7,MS7 Oued Sdas,M219-81.4,6.731,712.92
MS7,MS7 Oued Sdas,M219-82.8,5.837,714.32
MS7,MS7 Oued Sdas,M219-84.2,5.825,715.72
MS7,MS7 Oued Sdas,M219-85.6,6.107,717.12
MS7,MS7 Oued Sdas,M219-86.4,6.368,717.92
MS7,MS7 Oued Sdas,M219-87.9,6.435,719.42
MS7,MS7 Oued Sdas,M219-88.7,2.095,720.22
MS7,MS7 Oued Sdas,M219-90.8,6.455,722.32
MS7,MS7 Oued Sdas,M219-91.8,7.066,723.32
MS7,MS7 Oued Sdas,M219-92.9,5.544,724.42
MS7,MS7 Oued Sdas,M219-93.8,6.543,725.32
MS7,MS7 Oued Sdas,M219-94.7,6.955,726.22
MS7,MS7 Oued Sdas,M219-96.0,7.164,727.52
MS7,MS7 Oued Sdas,M219-97.4,6.701,728.92
MS7,MS7 Oued Sdas,M219-98.2,6.052,729.72
MS7,MS7 Oued Sdas,M219-100.0,6.466,731.52
MS7,MS7 Oued Sdas,M219-100.8,6.523,732.32
MS7,MS7 Oued Sdas,M219-101.9,6.432,733.42
MS7,MS7 Oued Sdas,M219-103.0,6.107,734.52
MS7,MS7 Oued Sdas,M219-103.7,6.114,735.22
MS7,MS7 Oued Sdas,M219-105.0,6.199,736.52
MS7,MS7 Oued Sdas,M219-106.1,6.094,737.62
MS7,MS7 Oued Sdas,M219-107.1,6.208,738.62
MS7,MS7 Oued Sdas,M219-108.3,6.307,739.82
MS7,MS7 Oued Sdas,M219-109.0,5.84,740.52
MS7,MS7 Oued Sdas,M219-110.7,5.769,742.22
MS7,MS7 Oued Sdas,M219-112.2,4.124,743.72
MS7,MS7 Oued Sdas,M219-113.2,5.725,744.72
MS7,MS7 Oued Sdas,M219-114.4,5.41,745.92
MS7,MS7 Oued Sdas,M219-115.2,5.897,746.72
MS7,MS7 Oued Sdas,M219-116.2,5.948,747.72
